date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:23	127/127	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20Dec%202022%2020:40:50%20GMT	https://www.purecinema.tv/robots.txt		(from )
17:41:23	51607/51607	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Dec%202022%2020:40:50%20GMT	https://www.purecinema.tv/	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/index.html	(from )
17:41:23	1551/1551	---M--	200	added ('OK')	image/png	etag:%226088704c-60f%22	https://www.purecinema.tv/wp-content/themes/pure-cinema/favicon/apple-touch-icon.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/themes/pure-cinema/favicon/apple-touch-icon.png	(from https://www.purecinema.tv/)
17:41:24	786/786	---M--	200	added ('OK')	image/png	etag:%226088704c-312%22	https://www.purecinema.tv/wp-content/themes/pure-cinema/favicon/favicon-32x32.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/themes/pure-cinema/favicon/favicon-32x32.png	(from https://www.purecinema.tv/)
17:41:25	613/613	---M--	200	added ('OK')	image/png	etag:%226088704c-265%22	https://www.purecinema.tv/wp-content/themes/pure-cinema/favicon/favicon-16x16.png	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/themes/pure-cinema/favicon/favicon-16x16.png	(from https://www.purecinema.tv/)
17:41:26	524/524	---M--	200	added ('OK')	text/html	etag:%2220c-5c0f9e3914d83%22	https://www.purecinema.tv/wp-content/themes/pure-cinema/favicon/site.webmanifest	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/themes/pure-cinema/favicon/site.html	(from https://www.purecinema.tv/)
17:41:28	1209/1209	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226088704c-4b9%22	https://www.purecinema.tv/wp-content/themes/pure-cinema/favicon/safari-pinned-tab.svg	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/themes/pure-cinema/favicon/safari-pinned-tab.svg	(from https://www.purecinema.tv/)
17:41:28	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%226088704c-3aee%22	https://www.purecinema.tv/wp-content/themes/pure-cinema/favicon/favicon.ico	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/themes/pure-cinema/favicon/favicon.ico	(from https://www.purecinema.tv/)
17:41:30	246/246	---MCZ	200	added ('OK')	application/xml	etag:W/%22f6-5c0f9e3914d83%22	https://www.purecinema.tv/wp-content/themes/pure-cinema/favicon/browserconfig.xml	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/themes/pure-cinema/favicon/browserconfig.xml	(from https://www.purecinema.tv/)
17:41:30	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Dec%202022%2020:40:58%20GMT	https://fonts.gstatic.com/	/Users/diogoteixeira/documents/Site%20Produtora/fonts.gstatic.com/index.html	(from https://www.purecinema.tv/)
17:41:31	1310/1310	---MC-	200	added ('OK')	text/css	date:Thu,%2008%20Dec%202022%2020:40:58%20GMT	https://fonts.googleapis.com/css2?family=Roboto+Mono:wght@400;500&family=Roboto:wght@400;700&family=Work+Sans:wght@700;900&display=swap	/Users/diogoteixeira/documents/Site%20Produtora/fonts.googleapis.com/css28243.css	(from https://www.purecinema.tv/)
17:41:32	341239/341239	---M--	200	added ('OK')	image/jpeg	etag:%226006face-534f7%22	https://www.purecinema.tv/wp-content/uploads/2021/01/PureCinema-Share.jpg	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/01/PureCinema-Share.jpg	(from https://www.purecinema.tv/)
17:41:33	52060/52060	---MCZ	200	added ('OK')	text/css	etag:W/%226088704c-cb5c%22	https://www.purecinema.tv/wp-content/themes/pure-cinema/build/main.css?ver=318492ff618c9632f24bb85ec28537c1	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/themes/pure-cinema/build/main552f.css	(from https://www.purecinema.tv/)
17:41:34	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%2263652ca1-d9%22	https://www.purecinema.tv/wp-includes/css/classic-themes.min.css?ver=1	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-includes/css/classic-themes.min68b3.css	(from https://www.purecinema.tv/)
17:41:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Dec%202022%2020:41:02%20GMT	https://www.purecinema.tv/work	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/work	(from https://www.purecinema.tv/)
17:41:35	70981/70981	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Dec%202022%2020:41:03%20GMT	https://www.purecinema.tv/about/	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/about/index.html	(from https://www.purecinema.tv/)
17:41:35	105988/105988	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Dec%202022%2020:41:03%20GMT	https://www.purecinema.tv/work/	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/work/index.html	(from https://www.purecinema.tv/)
17:41:36	35601/35601	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Dec%202022%2020:41:04%20GMT	https://www.purecinema.tv/contact/	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/contact/index.html	(from https://www.purecinema.tv/)
17:41:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Dec%202022%2020:41:04%20GMT	https://www.purecinema.tv/about	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/about.c.delayed	(from https://www.purecinema.tv/)
17:41:36	25564/25564	---M--	200	added ('OK')	image/webp	etag:%2261280b91-63dc%22	https://www.purecinema.tv/wp-content/uploads/2021/03/A21-Featured-Image-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2021/03/A21-Featured-Image-1366x0-c-default.webp	(from https://www.purecinema.tv/)
17:41:37	42002/42002	---M--	200	added ('OK')	image/webp	etag:%226328b337-a412%22	https://www.purecinema.tv/wp-content/uploads/2022/09/J-1366x0-c-default.webp	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/wp-content/uploads/2022/09/J-1366x0-c-default.webp	(from https://www.purecinema.tv/)
17:41:38	35293/35293	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Dec%202022%2020:41:06%20GMT	https://www.purecinema.tv/until-all-are-free/	/Users/diogoteixeira/documents/Site%20Produtora/www.purecinema.tv/until-all-are-free/index.html	(from https://www.purecinema.tv/)
